Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
stu,chem,btech,2,asgn,chem,btech,1,0,1
stu,pha,btech,3,asgn,pha,btech,2,0,1
stu,chem,btech,3,asgn,chem,btech,2,0,1
stu,chem,btech,4,asgn,chem,btech,2,0,1
stu,eni,btech,4,asgn,eni,btech,3,0,1
stu,pha,btech,4,asgn,pha,btech,3,0,1
stu,chem,btech,4,asgn,chem,btech,3,0,1
vis_prof,cse,X,X,q_pr,cse,btech,1,1,0
vis_prof,ce,X,X,q_pr,ce,btech,1,1,0
vis_prof,me,X,X,q_pr,me,btech,1,1,0
vis_prof,ece,X,X,q_pr,ece,btech,1,1,0
vis_prof,cse,X,X,q_pr,cse,btech,2,1,0
vis_prof,ce,X,X,q_pr,ce,btech,2,1,0
vis_prof,me,X,X,q_pr,me,btech,2,1,0
vis_prof,ece,X,X,q_pr,ece,btech,2,1,0
vis_prof,cse,X,X,q_pr,cse,btech,3,1,0
vis_prof,ce,X,X,q_pr,ce,btech,3,1,0
vis_prof,me,X,X,q_pr,me,btech,3,1,0
vis_prof,ece,X,X,q_pr,ece,btech,3,1,0
vis_prof,cse,X,X,q_pr,cse,btech,4,1,0
vis_prof,ce,X,X,q_pr,ce,btech,4,1,0
vis_prof,me,X,X,q_pr,me,btech,4,1,0
vis_prof,ece,X,X,q_pr,ece,btech,4,1,0
vis_prof,cse,X,X,q_pr,cse,mtech,1,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,1,1,0
vis_prof,me,X,X,q_pr,me,mtech,1,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,1,1,0
vis_prof,cse,X,X,q_pr,cse,mtech,2,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,2,1,0
vis_prof,me,X,X,q_pr,me,mtech,2,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,2,1,0
vis_prof,cse,X,X,asgn,cse,btech,1,1,0
vis_prof,ce,X,X,asgn,ce,btech,1,1,0
