Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
vis_prof,cse,X,X,q_pr,cse,btech,1,1,0
vis_prof,ce,X,X,q_pr,ce,btech,1,1,0
vis_prof,me,X,X,q_pr,me,btech,1,1,0
vis_prof,ece,X,X,q_pr,ece,btech,1,1,0
vis_prof,ce,X,X,q_pr,ce,btech,2,1,0
vis_prof,me,X,X,q_pr,me,btech,2,1,0
vis_prof,ece,X,X,q_pr,ece,btech,2,1,0
vis_prof,ce,X,X,q_pr,ce,btech,3,1,0
vis_prof,me,X,X,q_pr,me,btech,3,1,0
vis_prof,ece,X,X,q_pr,ece,btech,3,1,0
vis_prof,ce,X,X,q_pr,ce,btech,4,1,0
vis_prof,me,X,X,q_pr,me,btech,4,1,0
vis_prof,ece,X,X,q_pr,ece,btech,4,1,0
vis_prof,cse,X,X,q_pr,cse,mtech,1,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,1,1,0
vis_prof,me,X,X,q_pr,me,mtech,1,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,1,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,2,1,0
vis_prof,me,X,X,q_pr,me,mtech,2,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,2,1,0
vis_prof,cse,X,X,asgn,cse,btech,1,1,0
vis_prof,ce,X,X,asgn,ce,btech,1,1,0
vis_prof,me,X,X,asgn,me,btech,1,1,0
vis_prof,ece,X,X,asgn,ece,btech,1,1,0
vis_prof,cse,X,X,asgn,cse,btech,2,1,0
vis_prof,ce,X,X,asgn,ce,btech,2,1,0
vis_prof,me,X,X,asgn,me,btech,2,1,0
vis_prof,ece,X,X,asgn,ece,btech,2,1,0
vis_prof,ce,X,X,asgn,ce,btech,3,1,0
vis_prof,me,X,X,asgn,me,btech,3,1,0
vis_prof,ece,X,X,asgn,ece,btech,3,1,0
vis_prof,ce,X,X,asgn,ce,btech,4,1,0
vis_prof,me,X,X,asgn,me,btech,4,1,0
vis_prof,ece,X,X,asgn,ece,btech,4,1,0
vis_prof,cse,X,X,asgn,cse,mtech,1,1,0
vis_prof,ce,X,X,asgn,ce,mtech,1,1,0
vis_prof,me,X,X,asgn,me,mtech,1,1,0
vis_prof,ece,X,X,asgn,ece,mtech,1,1,0
vis_prof,cse,X,X,asgn,cse,mtech,2,1,0
vis_prof,ce,X,X,asgn,ce,mtech,2,1,0
vis_prof,me,X,X,asgn,me,mtech,2,1,0
vis_prof,ece,X,X,asgn,ece,mtech,2,1,0
adj_prof,cse,X,X,q_pr,cse,btech,1,1,0
adj_prof,ce,X,X,q_pr,ce,btech,1,1,0
adj_prof,me,X,X,q_pr,me,btech,1,1,0
adj_prof,ece,X,X,q_pr,ece,btech,1,1,0
adj_prof,ce,X,X,q_pr,ce,btech,2,1,0
adj_prof,me,X,X,q_pr,me,btech,2,1,0
adj_prof,ece,X,X,q_pr,ece,btech,2,1,0
adj_prof,ce,X,X,q_pr,ce,btech,3,1,0
adj_prof,me,X,X,q_pr,me,btech,3,1,0
adj_prof,ece,X,X,q_pr,ece,btech,3,1,0
adj_prof,ce,X,X,q_pr,ce,btech,4,1,0
adj_prof,me,X,X,q_pr,me,btech,4,1,0
adj_prof,ece,X,X,q_pr,ece,btech,4,1,0
adj_prof,cse,X,X,q_pr,cse,mtech,1,1,0
adj_prof,ce,X,X,q_pr,ce,mtech,1,1,0
adj_prof,me,X,X,q_pr,me,mtech,1,1,0
adj_prof,ece,X,X,q_pr,ece,mtech,1,1,0
adj_prof,ce,X,X,q_pr,ce,mtech,2,1,0
adj_prof,me,X,X,q_pr,me,mtech,2,1,0
adj_prof,ece,X,X,q_pr,ece,mtech,2,1,0
adj_prof,cse,X,X,asgn,cse,btech,1,1,0
adj_prof,ce,X,X,asgn,ce,btech,1,1,0
adj_prof,me,X,X,asgn,me,btech,1,1,0
adj_prof,ece,X,X,asgn,ece,btech,1,1,0
adj_prof,cse,X,X,asgn,cse,btech,2,1,0
adj_prof,ce,X,X,asgn,ce,btech,2,1,0
adj_prof,me,X,X,asgn,me,btech,2,1,0
adj_prof,ece,X,X,asgn,ece,btech,2,1,0
adj_prof,ce,X,X,asgn,ce,btech,3,1,0
adj_prof,me,X,X,asgn,me,btech,3,1,0
adj_prof,ece,X,X,asgn,ece,btech,3,1,0
adj_prof,ce,X,X,asgn,ce,btech,4,1,0
adj_prof,me,X,X,asgn,me,btech,4,1,0
adj_prof,ece,X,X,asgn,ece,btech,4,1,0
adj_prof,cse,X,X,asgn,cse,mtech,1,1,0
adj_prof,ce,X,X,asgn,ce,mtech,1,1,0
adj_prof,me,X,X,asgn,me,mtech,1,1,0
adj_prof,ece,X,X,asgn,ece,mtech,1,1,0
adj_prof,cse,X,X,asgn,cse,mtech,2,1,0
adj_prof,ce,X,X,asgn,ce,mtech,2,1,0
adj_prof,me,X,X,asgn,me,mtech,2,1,0
adj_prof,ece,X,X,asgn,ece,mtech,2,1,0
prof,cse,X,X,dept_bud,cse,X,X,1,0
prof,ece,X,X,dept_bud,ece,X,X,1,0
prof,me,X,X,dept_bud,me,X,X,1,0
prof,ce,X,X,dept_bud,ce,X,X,1,0
stu,cse,BE,3,asgn,cse,BE,2,0,1
stu,ece,BE,3,asgn,ece,BE,2,0,1
stu,ce,BE,3,asgn,ce,BE,2,0,1
stu,me,BE,3,asgn,me,BE,2,0,1
stu,cse,BE,4,asgn,cse,BE,2,0,1
stu,ece,BE,4,asgn,ece,BE,2,0,1
stu,ce,BE,4,asgn,ce,BE,2,0,1
stu,me,BE,4,asgn,me,BE,2,0,1
stu,ce,BE,4,asgn,ce,BE,3,0,1
stu,me,BE,4,asgn,me,BE,3,0,1
stu,me,BE,4,asgn,me,BE,4,1,0
stu,IT,btech,1,asgn,ce,btech,1,0,1
stu,IT,btech,2,asgn,ce,btech,2,0,1
stu,IT,btech,3,asgn,ce,btech,3,0,1
stu,IT,btech,4,asgn,ce,btech,4,0,1
stu,chem,btech,1,asgn,ce,btech,1,0,1
stu,chem,btech,2,asgn,ce,btech,2,0,1
stu,chem,btech,3,asgn,ce,btech,3,0,1
stu,chem,btech,4,asgn,ce,btech,4,0,1
stu,pha,btech,1,asgn,ce,btech,1,0,1
stu,pha,btech,2,asgn,ce,btech,2,0,1
stu,pha,btech,3,asgn,ce,btech,3,0,1
stu,pha,btech,4,asgn,ce,btech,4,0,1
stu,eni,btech,1,asgn,ce,btech,1,0,1
stu,eni,btech,2,asgn,ce,btech,2,0,1
stu,eni,btech,3,asgn,ce,btech,3,0,1
stu,eni,btech,4,asgn,ce,btech,4,0,1
