Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
stu,IT,btech,2,asgn,IT,btech,1,0,1
stu,eni,btech,2,asgn,eni,btech,1,0,1
stu,pha,btech,2,asgn,pha,btech,1,0,1
stu,chem,btech,2,asgn,chem,btech,1,0,1
stu,eni,btech,3,asgn,eni,btech,1,0,1
stu,pha,btech,3,asgn,pha,btech,1,0,1
stu,chem,btech,3,asgn,chem,btech,1,0,1
stu,eni,btech,3,asgn,eni,btech,2,0,1
stu,pha,btech,3,asgn,pha,btech,2,0,1
stu,chem,btech,3,asgn,chem,btech,2,0,1
stu,IT,btech,3,asgn,IT,btech,3,1,0
stu,pha,btech,4,asgn,pha,btech,1,0,1
stu,chem,btech,4,asgn,chem,btech,1,0,1
stu,pha,btech,4,asgn,pha,btech,2,0,1
stu,chem,btech,4,asgn,chem,btech,2,0,1
stu,pha,btech,4,asgn,pha,btech,3,0,1
stu,chem,btech,4,asgn,chem,btech,3,0,1
stu,IT,btech,4,asgn,IT,btech,4,1,0
stu,eni,btech,4,asgn,eni,btech,4,1,0
stu,IT,mtech,1,asgn,IT,mtech,1,1,0
stu,eni,mtech,1,asgn,eni,mtech,1,1,0
stu,eni,mtech,2,asgn,eni,mtech,1,0,1
stu,pha,mtech,2,asgn,pha,mtech,1,0,1
stu,chem,mtech,2,asgn,chem,mtech,1,0,1
stu,IT,mtech,2,asgn,IT,mtech,2,1,0
vis_prof,cse,X,X,q_pr,cse,btech,1,1,0
vis_prof,ce,X,X,q_pr,ce,btech,1,1,0
vis_prof,me,X,X,q_pr,me,btech,1,1,0
vis_prof,ece,X,X,q_pr,ece,btech,1,1,0
vis_prof,cse,X,X,q_pr,cse,btech,2,1,0
vis_prof,ce,X,X,q_pr,ce,btech,2,1,0
vis_prof,me,X,X,q_pr,me,btech,2,1,0
vis_prof,ece,X,X,q_pr,ece,btech,2,1,0
vis_prof,cse,X,X,q_pr,cse,btech,3,1,0
vis_prof,ce,X,X,q_pr,ce,btech,3,1,0
vis_prof,me,X,X,q_pr,me,btech,3,1,0
vis_prof,ece,X,X,q_pr,ece,btech,3,1,0
vis_prof,cse,X,X,q_pr,cse,btech,4,1,0
vis_prof,ce,X,X,q_pr,ce,btech,4,1,0
vis_prof,me,X,X,q_pr,me,btech,4,1,0
vis_prof,ece,X,X,q_pr,ece,btech,4,1,0
vis_prof,cse,X,X,q_pr,cse,mtech,1,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,1,1,0
vis_prof,me,X,X,q_pr,me,mtech,1,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,1,1,0
vis_prof,cse,X,X,q_pr,cse,mtech,2,1,0
vis_prof,ce,X,X,q_pr,ce,mtech,2,1,0
vis_prof,me,X,X,q_pr,me,mtech,2,1,0
vis_prof,ece,X,X,q_pr,ece,mtech,2,1,0
vis_prof,cse,X,X,asgn,cse,btech,1,1,0
vis_prof,ce,X,X,asgn,ce,btech,1,1,0
vis_prof,me,X,X,asgn,me,btech,1,1,0
vis_prof,ece,X,X,asgn,ece,btech,1,1,0
vis_prof,cse,X,X,asgn,cse,btech,2,1,0
vis_prof,ce,X,X,asgn,ce,btech,2,1,0
vis_prof,me,X,X,asgn,me,btech,2,1,0
vis_prof,ece,X,X,asgn,ece,btech,2,1,0
vis_prof,cse,X,X,asgn,cse,btech,3,1,0
vis_prof,ce,X,X,asgn,ce,btech,3,1,0
vis_prof,me,X,X,asgn,me,btech,3,1,0
vis_prof,ece,X,X,asgn,ece,btech,3,1,0
vis_prof,cse,X,X,asgn,cse,btech,4,1,0
vis_prof,ce,X,X,asgn,ce,btech,4,1,0
vis_prof,me,X,X,asgn,me,btech,4,1,0
vis_prof,ece,X,X,asgn,ece,btech,4,1,0
vis_prof,cse,X,X,asgn,cse,mtech,1,1,0
vis_prof,ce,X,X,asgn,ce,mtech,1,1,0
vis_prof,me,X,X,asgn,me,mtech,1,1,0
vis_prof,ece,X,X,asgn,ece,mtech,1,1,0
vis_prof,cse,X,X,asgn,cse,mtech,2,1,0
vis_prof,ce,X,X,asgn,ce,mtech,2,1,0
vis_prof,me,X,X,asgn,me,mtech,2,1,0
vis_prof,ece,X,X,asgn,ece,mtech,2,1,0
adj_prof,cse,X,X,q_pr,cse,btech,1,1,0
adj_prof,ce,X,X,q_pr,ce,btech,1,1,0
adj_prof,me,X,X,q_pr,me,btech,1,1,0
adj_prof,ece,X,X,q_pr,ece,btech,1,1,0
adj_prof,cse,X,X,q_pr,cse,btech,2,1,0
adj_prof,ce,X,X,q_pr,ce,btech,2,1,0
adj_prof,me,X,X,q_pr,me,btech,2,1,0
adj_prof,ece,X,X,q_pr,ece,btech,2,1,0
adj_prof,cse,X,X,q_pr,cse,btech,3,1,0
adj_prof,ce,X,X,q_pr,ce,btech,3,1,0
adj_prof,me,X,X,q_pr,me,btech,3,1,0
adj_prof,ece,X,X,q_pr,ece,btech,3,1,0
adj_prof,cse,X,X,q_pr,cse,btech,4,1,0
adj_prof,ce,X,X,q_pr,ce,btech,4,1,0
adj_prof,me,X,X,q_pr,me,btech,4,1,0
adj_prof,ece,X,X,q_pr,ece,btech,4,1,0
adj_prof,cse,X,X,q_pr,cse,mtech,1,1,0
adj_prof,ce,X,X,q_pr,ce,mtech,1,1,0
adj_prof,me,X,X,q_pr,me,mtech,1,1,0
adj_prof,ece,X,X,q_pr,ece,mtech,1,1,0
adj_prof,cse,X,X,q_pr,cse,mtech,2,1,0
adj_prof,ce,X,X,q_pr,ce,mtech,2,1,0
adj_prof,me,X,X,q_pr,me,mtech,2,1,0
adj_prof,ece,X,X,q_pr,ece,mtech,2,1,0
adj_prof,cse,X,X,asgn,cse,btech,1,1,0
adj_prof,ce,X,X,asgn,ce,btech,1,1,0
adj_prof,me,X,X,asgn,me,btech,1,1,0
adj_prof,ece,X,X,asgn,ece,btech,1,1,0
adj_prof,cse,X,X,asgn,cse,btech,2,1,0
adj_prof,ce,X,X,asgn,ce,btech,2,1,0
adj_prof,me,X,X,asgn,me,btech,2,1,0
adj_prof,ece,X,X,asgn,ece,btech,2,1,0
adj_prof,cse,X,X,asgn,cse,btech,3,1,0
adj_prof,ce,X,X,asgn,ce,btech,3,1,0
adj_prof,me,X,X,asgn,me,btech,3,1,0
adj_prof,ece,X,X,asgn,ece,btech,3,1,0
adj_prof,cse,X,X,asgn,cse,btech,4,1,0
adj_prof,ce,X,X,asgn,ce,btech,4,1,0
adj_prof,me,X,X,asgn,me,btech,4,1,0
adj_prof,ece,X,X,asgn,ece,btech,4,1,0
adj_prof,cse,X,X,asgn,cse,mtech,1,1,0
adj_prof,ce,X,X,asgn,ce,mtech,1,1,0
adj_prof,me,X,X,asgn,me,mtech,1,1,0
adj_prof,ece,X,X,asgn,ece,mtech,1,1,0
adj_prof,cse,X,X,asgn,cse,mtech,2,1,0
adj_prof,ce,X,X,asgn,ce,mtech,2,1,0
adj_prof,me,X,X,asgn,me,mtech,2,1,0
adj_prof,ece,X,X,asgn,ece,mtech,2,1,0
prof,ece,X,X,dept_bud,ece,X,X,1,0
prof,me,X,X,dept_bud,me,X,X,1,0
prof,ce,X,X,dept_bud,ce,X,X,1,0
stu,cse,BE,1,asgn,cse,BE,1,1,0
stu,ece,BE,1,asgn,ece,BE,1,1,0
stu,ce,BE,1,asgn,ce,BE,1,1,0
stu,me,BE,1,asgn,me,BE,1,1,0
stu,cse,BE,2,asgn,cse,BE,2,1,0
stu,ece,BE,2,asgn,ece,BE,2,1,0
stu,ce,BE,2,asgn,ce,BE,2,1,0
stu,me,BE,2,asgn,me,BE,2,1,0
stu,cse,BE,3,asgn,cse,BE,3,1,0
stu,ece,BE,3,asgn,ece,BE,3,1,0
stu,ce,BE,3,asgn,ce,BE,3,1,0
stu,me,BE,3,asgn,me,BE,3,1,0
stu,cse,BE,4,asgn,cse,BE,4,1,0
stu,ece,BE,4,asgn,ece,BE,4,1,0
stu,ce,BE,4,asgn,ce,BE,4,1,0
stu,me,BE,4,asgn,me,BE,4,1,0
stu,cse,ME,1,asgn,cse,ME,1,1,0
stu,ece,ME,1,asgn,ece,ME,1,1,0
stu,ce,ME,1,asgn,ce,ME,1,1,0
stu,me,ME,1,asgn,me,ME,1,1,0
stu,cse,ME,2,asgn,cse,ME,2,1,0
stu,ece,ME,2,asgn,ece,ME,2,1,0
stu,ce,ME,2,asgn,ce,ME,2,1,0
stu,me,ME,2,asgn,me,ME,2,1,0
stu,IT,btech,1,asgn,IT,btech,2,0,1
stu,IT,btech,1,asgn,IT,btech,3,0,1
stu,IT,btech,1,asgn,IT,btech,4,0,1
stu,IT,btech,2,asgn,IT,btech,3,0,1
stu,IT,btech,2,asgn,IT,btech,4,0,1
stu,chem,btech,1,asgn,chem,btech,2,0,1
stu,chem,btech,1,asgn,chem,btech,3,0,1
stu,chem,btech,1,asgn,chem,btech,4,0,1
stu,chem,btech,2,asgn,chem,btech,3,0,1
stu,chem,btech,2,asgn,chem,btech,4,0,1
stu,chem,btech,3,asgn,chem,btech,4,0,1
stu,pha,btech,1,asgn,pha,btech,2,0,1
stu,pha,btech,1,asgn,pha,btech,3,0,1
stu,pha,btech,1,asgn,pha,btech,4,0,1
stu,pha,btech,2,asgn,pha,btech,3,0,1
stu,pha,btech,2,asgn,pha,btech,4,0,1
stu,pha,btech,3,asgn,pha,btech,4,0,1
stu,eni,btech,1,asgn,eni,btech,2,0,1
stu,eni,btech,1,asgn,eni,btech,3,0,1
stu,eni,btech,1,asgn,eni,btech,4,0,1
stu,eni,btech,2,asgn,eni,btech,3,0,1
stu,eni,btech,2,asgn,eni,btech,4,0,1
stu,eni,btech,3,asgn,eni,btech,4,0,1
prof,IT,X,X,attdn,cse,btech,1,1,0
prof,IT,X,X,attdn,cse,btech,2,1,0
prof,IT,X,X,attdn,cse,btech,3,1,0
prof,IT,X,X,attdn,cse,btech,4,1,0
prof,IT,X,X,attdn,ece,btech,1,1,0
prof,IT,X,X,attdn,ece,btech,2,1,0
prof,IT,X,X,attdn,ece,btech,3,1,0
prof,IT,X,X,attdn,ece,btech,4,1,0
prof,pha,X,X,attdn,cse,btech,1,1,0
prof,pha,X,X,attdn,cse,btech,2,1,0
prof,pha,X,X,attdn,cse,btech,3,1,0
prof,pha,X,X,attdn,cse,btech,4,1,0
prof,pha,X,X,attdn,me,btech,1,1,0
prof,pha,X,X,attdn,me,btech,2,1,0
prof,pha,X,X,attdn,me,btech,3,1,0
prof,pha,X,X,attdn,me,btech,4,1,0
prof,pha,X,X,attdn,ece,btech,1,1,0
prof,pha,X,X,attdn,ece,btech,2,1,0
prof,pha,X,X,attdn,ece,btech,3,1,0
prof,pha,X,X,attdn,ece,btech,4,1,0
prof,eni,X,X,attdn,cse,btech,1,1,0
prof,eni,X,X,attdn,cse,btech,2,1,0
prof,eni,X,X,attdn,cse,btech,3,1,0
prof,eni,X,X,attdn,cse,btech,4,1,0
prof,eni,X,X,attdn,me,btech,1,1,0
prof,eni,X,X,attdn,me,btech,2,1,0
prof,eni,X,X,attdn,me,btech,3,1,0
prof,eni,X,X,attdn,me,btech,4,1,0
prof,eni,X,X,attdn,ece,btech,1,1,0
prof,eni,X,X,attdn,ece,btech,2,1,0
prof,eni,X,X,attdn,ece,btech,3,1,0
prof,eni,X,X,attdn,ece,btech,4,1,0
prof,chem,X,X,attdn,cse,btech,1,1,0
prof,chem,X,X,attdn,cse,btech,2,1,0
prof,chem,X,X,attdn,cse,btech,3,1,0
prof,chem,X,X,attdn,cse,btech,4,1,0
prof,chem,X,X,attdn,ce,btech,1,1,0
prof,chem,X,X,attdn,ce,btech,2,1,0
prof,chem,X,X,attdn,ce,btech,3,1,0
prof,chem,X,X,attdn,ce,btech,4,1,0
prof,chem,X,X,attdn,me,btech,1,1,0
prof,chem,X,X,attdn,me,btech,2,1,0
prof,chem,X,X,attdn,me,btech,3,1,0
prof,chem,X,X,attdn,me,btech,4,1,0
prof,chem,X,X,attdn,ece,btech,1,1,0
prof,chem,X,X,attdn,ece,btech,2,1,0
prof,chem,X,X,attdn,ece,btech,3,1,0
prof,chem,X,X,attdn,ece,btech,4,1,0
prof,IT,X,X,attdn,cse,mtech,1,1,0
prof,IT,X,X,attdn,cse,mtech,2,1,0
prof,IT,X,X,attdn,ece,mtech,1,1,0
prof,IT,X,X,attdn,ece,mtech,2,1,0
prof,pha,X,X,attdn,cse,mtech,1,1,0
prof,pha,X,X,attdn,cse,mtech,2,1,0
prof,pha,X,X,attdn,ce,mtech,1,1,0
prof,pha,X,X,attdn,ce,mtech,2,1,0
prof,pha,X,X,attdn,me,mtech,1,1,0
prof,pha,X,X,attdn,me,mtech,2,1,0
prof,pha,X,X,attdn,ece,mtech,1,1,0
prof,pha,X,X,attdn,ece,mtech,2,1,0
prof,eni,X,X,attdn,cse,mtech,1,1,0
prof,eni,X,X,attdn,cse,mtech,2,1,0
prof,eni,X,X,attdn,me,mtech,1,1,0
prof,eni,X,X,attdn,me,mtech,2,1,0
prof,eni,X,X,attdn,ece,mtech,1,1,0
prof,eni,X,X,attdn,ece,mtech,2,1,0
