confidence for class-0,confidence for class-1,actual class
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.969,0.031,0
1.0,0.0,0
0.964,0.036,0
0.0,1.0,1
1.0,0.0,0
0.952,0.048,0
0.941,0.059,0
0.983,0.017,0
1.0,0.0,0
1.0,0.0,0
0.971,0.029,0
0.962,0.038,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.942,0.058,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.965,0.035,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.976,0.024,0
1.0,0.0,0
0.965,0.035,0
0.952,0.048,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.973,0.027,0
1.0,0.0,0
0.971,0.029,0
0.97,0.03,0
0.97,0.03,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
0.0,1.0,1
0.959,0.041,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.949,0.051,0
1.0,0.0,0
1.0,0.0,0
0.966,0.034,0
1.0,0.0,0
0.024,0.976,1
0.981,0.019,0
1.0,0.0,0
0.948,0.052,1
1.0,0.0,0
1.0,0.0,0
0.971,0.029,0
0.953,0.047,0
1.0,0.0,0
0.0,1.0,1
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
0.969,0.031,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.933,0.067,0
0.988,0.012,1
1.0,0.0,0
1.0,0.0,0
0.943,0.057,0
1.0,0.0,0
0.971,0.029,0
1.0,0.0,0
0.942,0.058,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.944,0.056,0
1.0,0.0,0
0.965,0.035,0
1.0,0.0,0
1.0,0.0,0
0.976,0.024,1
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.9,0.1,0
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.97,0.03,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.97,0.03,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
0.0,1.0,1
0.953,0.047,0
1.0,0.0,0
