confidence for class-0,confidence for class-1,actual class
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.967,0.033,0
1.0,0.0,0
0.951,0.049,0
1.0,0.0,0
0.0,1.0,1
0.0,1.0,1
0.0,1.0,1
1.0,0.0,0
0.96,0.04,0
1.0,0.0,0
0.006,0.994,1
1.0,0.0,0
1.0,0.0,0
0.963,0.037,0
1.0,0.0,0
1.0,0.0,0
0.961,0.039,0
1.0,0.0,0
0.975,0.025,0
0.926,0.074,1
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
0.0,1.0,1
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
0.963,0.037,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.12,0.88,1
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.966,0.034,0
1.0,0.0,0
0.966,0.034,0
0.969,0.031,0
0.0,1.0,1
1.0,0.0,0
0.96,0.04,0
1.0,0.0,0
0.958,0.042,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.004,0.996,1
0.999,0.001,0
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
0.999,0.001,0
0.949,0.051,0
0.957,0.043,0
0.947,0.053,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.011,0.989,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.964,0.036,0
0.957,0.043,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
