confidence for class-0,confidence for class-1,actual class
0.0,1.0,1
0.939,0.061,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
0.283,0.717,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.971,0.029,0
1.0,0.0,0
1.0,0.0,0
0.039,0.961,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.984,0.016,0
1.0,0.0,0
1.0,0.0,0
0.993,0.007,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.978,0.022,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.007,0.993,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.975,0.025,0
0.983,0.017,0
0.998,0.002,0
1.0,0.0,0
0.001,0.999,1
0.222,0.778,1
1.0,0.0,0
0.945,0.055,0
0.998,0.002,0
1.0,0.0,0
1.0,0.0,0
0.003,0.997,1
1.0,0.0,0
1.0,0.0,0
0.109,0.891,1
1.0,0.0,0
0.988,0.012,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.993,0.007,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.993,0.007,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.988,0.012,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.995,0.005,0
1.0,0.0,0
0.004,0.996,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.008,0.992,1
1.0,0.0,0
0.186,0.814,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.995,0.005,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.919,0.081,0
0.113,0.887,1
0.001,0.999,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.005,0.995,1
1.0,0.0,0
0.952,0.048,0
1.0,0.0,0
0.983,0.017,0
0.947,0.053,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.995,0.005,0
0.999,0.001,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.005,0.995,1
1.0,0.0,0
0.992,0.008,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
0.998,0.002,0
1.0,0.0,0
0.995,0.005,0
1.0,0.0,0
0.995,0.005,0
0.967,0.033,0
0.991,0.009,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.002,0.998,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.979,0.021,0
0.937,0.063,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.013,0.987,1
1.0,0.0,0
1.0,0.0,0
0.992,0.008,0
1.0,0.0,0
1.0,0.0,0
0.973,0.027,0
0.995,0.005,0
0.001,0.999,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.996,0.004,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.977,0.023,0
0.977,0.023,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.238,0.762,1
1.0,0.0,0
1.0,0.0,0
0.994,0.006,0
0.991,0.009,0
1.0,0.0,0
1.0,0.0,0
0.98,0.02,0
0.992,0.008,0
0.99,0.01,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.954,0.046,0
1.0,0.0,0
1.0,0.0,0
0.414,0.586,1
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.037,0.963,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.133,0.867,1
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.004,0.996,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.953,0.047,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.027,0.973,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
0.989,0.011,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.006,0.994,1
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
0.099,0.901,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.985,0.015,0
1.0,0.0,0
1.0,0.0,0
0.974,0.026,0
0.0,1.0,1
1.0,0.0,0
0.972,0.028,0
0.108,0.892,1
1.0,0.0,0
0.986,0.014,0
0.957,0.043,0
1.0,0.0,0
0.966,0.034,0
1.0,0.0,0
1.0,0.0,0
0.948,0.052,0
1.0,0.0,0
1.0,0.0,0
0.05,0.95,1
1.0,0.0,0
0.911,0.089,0
0.0,1.0,1
1.0,0.0,0
0.99,0.01,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.994,0.006,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.955,0.045,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.994,0.006,0
1.0,0.0,0
0.984,0.016,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.997,0.003,0
0.001,0.999,1
0.996,0.004,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.97,0.03,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.972,0.028,0
1.0,0.0,0
0.989,0.011,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.991,0.009,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.186,0.814,1
0.967,0.033,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.028,0.972,1
1.0,0.0,0
0.995,0.005,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.993,0.007,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
1.0,0.0,0
0.993,0.007,0
0.998,0.002,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.001,0.999,1
0.989,0.011,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
0.989,0.011,0
0.136,0.864,1
0.003,0.997,1
1.0,0.0,0
1.0,0.0,0
0.96,0.04,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.975,0.025,0
1.0,0.0,0
1.0,0.0,0
0.995,0.005,0
1.0,0.0,0
0.994,0.006,0
