confidence for class-0,confidence for class-1,actual class
0.999,0.001,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.994,0.006,0
1.0,0.0,0
0.948,0.052,0
0.0,1.0,1
0.997,0.003,0
0.973,0.027,0
0.96,0.04,0
0.996,0.004,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.001,0.999,1
1.0,0.0,0
1.0,0.0,0
0.005,0.995,1
1.0,0.0,0
0.984,0.016,0
1.0,0.0,0
1.0,0.0,0
0.991,0.009,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.01,0.99,1
0.983,0.017,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.961,0.039,0
0.001,0.999,1
0.996,0.004,0
1.0,0.0,0
0.987,0.013,0
0.996,0.004,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.004,0.996,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
0.995,0.005,0
0.994,0.006,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.971,0.029,0
1.0,0.0,0
0.984,0.016,0
0.008,0.992,1
0.984,0.016,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.973,0.027,0
1.0,0.0,0
1.0,0.0,0
0.965,0.035,0
1.0,0.0,0
0.05,0.95,1
0.99,0.01,0
1.0,0.0,0
0.366,0.634,1
1.0,0.0,0
1.0,0.0,0
0.965,0.035,0
0.985,0.015,0
1.0,0.0,0
0.006,0.994,1
0.982,0.018,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
0.985,0.015,0
1.0,0.0,0
1.0,0.0,0
0.992,0.008,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.987,0.013,0
0.711,0.289,1
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
0.983,0.017,0
