Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
stu,eni,btech,1,asgn,eni,btech,1,1,0
stu,pha,btech,1,asgn,pha,btech,1,1,0
stu,chem,btech,1,asgn,chem,btech,1,1,0
stu,pha,mtech,1,asgn,pha,mtech,1,1,0
stu,chem,mtech,1,asgn,chem,mtech,1,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,1,1,0
vis_prof,me,NA,NA,q_pr,me,btech,1,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,1,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,2,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,2,1,0
vis_prof,me,NA,NA,q_pr,me,btech,2,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,2,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,3,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,3,1,0
vis_prof,me,NA,NA,q_pr,me,btech,3,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,3,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,4,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,4,1,0
vis_prof,me,NA,NA,q_pr,me,btech,4,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,4,1,0
vis_prof,cse,NA,NA,q_pr,cse,mtech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,1,1,0
vis_prof,me,NA,NA,q_pr,me,mtech,1,1,0
vis_prof,ece,NA,NA,q_pr,ece,mtech,1,1,0
vis_prof,cse,NA,NA,q_pr,cse,mtech,2,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,2,1,0
vis_prof,me,NA,NA,q_pr,me,mtech,2,1,0
vis_prof,ece,NA,NA,q_pr,ece,mtech,2,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,1,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,1,1,0
vis_prof,me,NA,NA,asgn,me,btech,1,1,0
vis_prof,ece,NA,NA,asgn,ece,btech,1,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,2,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,2,1,0
vis_prof,me,NA,NA,asgn,me,btech,2,1,0
vis_prof,ece,NA,NA,asgn,ece,btech,2,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,3,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,3,1,0
vis_prof,me,NA,NA,asgn,me,btech,3,1,0
vis_prof,ece,NA,NA,asgn,ece,btech,3,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,4,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,4,1,0
vis_prof,me,NA,NA,asgn,me,btech,4,1,0
vis_prof,ece,NA,NA,asgn,ece,btech,4,1,0
vis_prof,cse,NA,NA,asgn,cse,mtech,1,1,0
vis_prof,ce,NA,NA,asgn,ce,mtech,1,1,0
vis_prof,me,NA,NA,asgn,me,mtech,1,1,0
vis_prof,ece,NA,NA,asgn,ece,mtech,1,1,0
vis_prof,cse,NA,NA,asgn,cse,mtech,2,1,0
vis_prof,ce,NA,NA,asgn,ce,mtech,2,1,0
vis_prof,me,NA,NA,asgn,me,mtech,2,1,0
vis_prof,ece,NA,NA,asgn,ece,mtech,2,1,0
adj_prof,cse,NA,NA,q_pr,cse,btech,1,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,1,1,0
adj_prof,me,NA,NA,q_pr,me,btech,1,1,0
adj_prof,ece,NA,NA,q_pr,ece,btech,1,1,0
adj_prof,cse,NA,NA,q_pr,cse,btech,2,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,2,1,0
adj_prof,me,NA,NA,q_pr,me,btech,2,1,0
adj_prof,ece,NA,NA,q_pr,ece,btech,2,1,0
adj_prof,cse,NA,NA,q_pr,cse,btech,3,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,3,1,0
adj_prof,me,NA,NA,q_pr,me,btech,3,1,0
adj_prof,ece,NA,NA,q_pr,ece,btech,3,1,0
adj_prof,cse,NA,NA,q_pr,cse,btech,4,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,4,1,0
adj_prof,me,NA,NA,q_pr,me,btech,4,1,0
adj_prof,ece,NA,NA,q_pr,ece,btech,4,1,0
adj_prof,cse,NA,NA,q_pr,cse,mtech,1,1,0
adj_prof,ce,NA,NA,q_pr,ce,mtech,1,1,0
adj_prof,me,NA,NA,q_pr,me,mtech,1,1,0
adj_prof,ece,NA,NA,q_pr,ece,mtech,1,1,0
adj_prof,cse,NA,NA,q_pr,cse,mtech,2,1,0
adj_prof,ce,NA,NA,q_pr,ce,mtech,2,1,0
adj_prof,me,NA,NA,q_pr,me,mtech,2,1,0
adj_prof,ece,NA,NA,q_pr,ece,mtech,2,1,0
adj_prof,cse,NA,NA,asgn,cse,btech,1,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,1,1,0
adj_prof,me,NA,NA,asgn,me,btech,1,1,0
adj_prof,ece,NA,NA,asgn,ece,btech,1,1,0
adj_prof,cse,NA,NA,asgn,cse,btech,2,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,2,1,0
adj_prof,me,NA,NA,asgn,me,btech,2,1,0
adj_prof,ece,NA,NA,asgn,ece,btech,2,1,0
adj_prof,cse,NA,NA,asgn,cse,btech,3,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,3,1,0
adj_prof,me,NA,NA,asgn,me,btech,3,1,0
adj_prof,ece,NA,NA,asgn,ece,btech,3,1,0
adj_prof,cse,NA,NA,asgn,cse,btech,4,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,4,1,0
adj_prof,me,NA,NA,asgn,me,btech,4,1,0
adj_prof,ece,NA,NA,asgn,ece,btech,4,1,0
adj_prof,cse,NA,NA,asgn,cse,mtech,1,1,0
adj_prof,ce,NA,NA,asgn,ce,mtech,1,1,0
adj_prof,me,NA,NA,asgn,me,mtech,1,1,0
adj_prof,ece,NA,NA,asgn,ece,mtech,1,1,0
adj_prof,cse,NA,NA,asgn,cse,mtech,2,1,0
adj_prof,ce,NA,NA,asgn,ce,mtech,2,1,0
adj_prof,me,NA,NA,asgn,me,mtech,2,1,0
adj_prof,ece,NA,NA,asgn,ece,mtech,2,1,0
prof,cse,NA,NA,quiz,cse,btech,1,1,0
prof,ce,NA,NA,quiz,ce,btech,1,1,0
prof,me,NA,NA,quiz,me,btech,1,1,0
