Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
vis_prof,ce,NA,NA,q_pr,ce,btech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,2,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,3,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,4,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,4,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,2,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,1,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,2,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,3,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,4,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,4,1,0
vis_prof,ce,NA,NA,asgn,ce,mtech,1,1,0
vis_prof,ce,NA,NA,asgn,ce,mtech,2,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,1,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,2,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,3,1,0
adj_prof,cse,NA,NA,q_pr,cse,btech,4,1,0
adj_prof,ce,NA,NA,q_pr,ce,btech,4,1,0
adj_prof,ce,NA,NA,q_pr,ce,mtech,1,1,0
adj_prof,ce,NA,NA,q_pr,ce,mtech,2,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,1,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,2,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,3,1,0
adj_prof,cse,NA,NA,asgn,cse,btech,4,1,0
adj_prof,ce,NA,NA,asgn,ce,btech,4,1,0
adj_prof,ce,NA,NA,asgn,ce,mtech,1,1,0
adj_prof,ce,NA,NA,asgn,ce,mtech,2,1,0
prof,ece,NA,NA,dept_bud,cse,NA,NA,0,1
prof,me,NA,NA,dept_bud,cse,NA,NA,0,1
prof,ce,NA,NA,dept_bud,cse,NA,NA,0,1
prof,ece,NA,NA,dept_bud,ece,NA,NA,1,0
prof,me,NA,NA,dept_bud,ece,NA,NA,0,1
prof,ce,NA,NA,dept_bud,ece,NA,NA,0,1
prof,me,NA,NA,dept_bud,ce,NA,NA,0,1
prof,ce,NA,NA,dept_bud,ce,NA,NA,1,0
stu,cse,BE,3,asgn,cse,BE,2,0,1
stu,ece,BE,3,asgn,ece,BE,2,0,1
stu,ce,BE,3,asgn,ce,BE,2,0,1
stu,me,BE,3,asgn,me,BE,2,0,1
stu,cse,BE,3,asgn,cse,BE,3,1,0
stu,ece,BE,3,asgn,ece,BE,3,1,0
stu,ce,BE,3,asgn,ce,BE,3,1,0
stu,me,BE,3,asgn,me,BE,3,1,0
stu,cse,BE,4,asgn,cse,BE,2,0,1
stu,ece,BE,4,asgn,ece,BE,2,0,1
stu,ce,BE,4,asgn,ce,BE,2,0,1
stu,me,BE,4,asgn,me,BE,2,0,1
stu,cse,BE,4,asgn,cse,BE,4,1,0
stu,ece,BE,4,asgn,ece,BE,4,1,0
stu,ce,BE,4,asgn,ce,BE,4,1,0
stu,me,BE,4,asgn,me,BE,4,1,0
stu,IT,btech,1,asgn,ce,btech,1,0,1
stu,IT,btech,2,asgn,ce,btech,2,0,1
stu,IT,btech,3,asgn,ce,btech,3,0,1
